pEtaBin,jEtaBin,pPtBin,N_WP0,N_WP0error,N_WPc,N_WPcerror,N_WPb,N_WPberror
0,0,0,199813.76613118625,472.5696537183976,58787.90256930425,253.67334538705109,32370.42371485376,186.77358042411834
0,0,1,134006.37564564866,369.0879643620865,39177.39152052143,207.39349680011583,21598.991219463645,151.98523163998289
0,0,2,180021.389726442,434.97546935513674,54195.47296394672,239.19402559230366,29702.618390145835,177.38776911499917
0,0,3,117893.65461016152,354.02621894995536,36907.220493479945,196.13534334069482,20284.853769434794,145.4190505990464
0,0,4,32245.167417890018,183.15800374476567,10991.507020982452,106.34271876960611,6194.110035194135,80.12092948528652
0,0,5,11322.39920021439,108.05109979615554,4093.899787864042,64.85310891499239,2360.278669048532,49.203555318747476
0,0,6,8113.564745540947,91.15350160871822,3340.0822284867522,58.41106017824177,1994.7025753189803,45.091030290127264
0,0,7,561.2778432372825,24.747997240529855,267.6744373369108,16.1786604268476,181.9546942738532,170.50733011739283
0,1,0,59034.12718514035,255.2981589246956,20667.52674505826,151.02730760907252,11513.595725229858,113.34458613644438
0,1,1,37431.183202178654,200.72725339087629,13414.635410117704,120.25673377268777,7622.978281167655,89.3516619354582
0,1,2,48520.03378166966,227.1034122518322,18071.40206916464,138.77571754263045,10116.46509722652,104.07636562140306
0,1,3,28921.713700761764,174.41540650492243,11568.10754509809,109.9531079808894,6496.217185183288,82.50494883396914
0,1,4,6797.728524643288,83.7695626946188,3011.1820742837263,55.96016290926764,1824.4132256875598,43.63896458501051
0,1,5,1967.8290483383362,45.01729399438625,881.8156948813289,29.97931437860683,560.1098866677478,24.01120088242982
0,1,6,1050.906982845041,32.83909902365707,515.7754777983798,22.99771336652276,347.57008220816476,18.819054814584433
0,1,7,33.98891944105087,24.969188116939783,3.884786493379977e-05,16.99733368657555,11.995395329052009,6.359766086022521
1,0,0,52487.70229810222,239.64743452535913,13880.01252112147,123.04368544514728,7589.256855973364,91.91433245161488
1,0,1,35906.65398537448,196.73034606084184,9523.343245880891,101.25157823913469,5154.052432132852,75.46551124885218
1,0,2,46563.30681728251,221.9668217261642,12731.878408209954,115.62874810319772,6830.039937332379,85.50958274625191
1,0,3,28376.1111631788,172.96553283426692,8219.33605545705,92.90865737972672,4429.7424189122,68.36877285553237
1,0,4,6658.696090659488,83.57237491585329,2134.634534477826,47.299488894220985,1183.2835617946625,35.46946897395799
1,0,5,1891.7367111722506,44.332364045992676,660.573998166793,26.278176793016257,400.3463381488635,20.293315219958714
1,0,6,920.892073907907,30.788886115433286,359.6217167709965,19.063287229293962,203.83761082088125,14.201855672908437
1,1,0,29234.6506929816,178.24207872276384,10177.774188491128,104.83589351617775,5357.234660076958,76.68833235770671
1,1,1,19430.647031373275,143.62217897923438,6881.913013823272,85.54947988017011,3550.787106694811,61.48999647174901
1,1,2,24327.94529072171,159.35459353881924,8872.250641528672,96.17512509275548,4635.60736270828,70.01623904326334
1,1,3,12708.610931219939,115.35262473959847,4973.8638902203875,71.7272222413444,2617.807263555099,52.10991638732594
1,1,4,2242.5645247049265,48.10470414274437,972.252018988313,31.636358173402016,544.6843151661071,23.52205159796864
1,1,5,466.94618134145446,21.718494692281297,223.89824502180488,14.641501070245852,138.91983021121519,11.499411160760957
1,1,6,126.51228045192173,11.152559814868368,67.45240851474921,8.08500982855454,48.98367298822626,24.61658152196609
