pEtaBin,jEtaBin,pPtBin,pPtL,pPtR,xs_c,xs_c_error,xs_b,xs_b_error,frac_c_b,yield_c,error_c,yield_b,error_b
0,0,0,210.0,230.0,-61.973247866319205,2.732560711541936,28.71409262829495,1.0267481833479835,-2.1582868269098845,-10740.211748224583,473.56370155306365,4976.267108854027,177.93956716693893
0,0,1,230.0,250.0,-44.127095236590414,2.381716617360267,19.748998387039546,0.8721559641359847,-2.2343966196052354,-7647.402112882064,412.7610166550037,3422.5804164675014,151.1481172086227
0,0,2,250.0,300.0,-24.729473537590113,1.1146629827789694,11.594511925173661,0.42506238733028906,-2.1328602443280262,-10714.291704896292,482.93888391881626,5023.43823670074,184.16252993472102
0,0,3,300.0,400.0,-8.973612078598634,0.435325957759272,4.2456967826970615,0.1649741412458271,-2.113578179951462,-7775.814338347288,377.21864891756434,3678.9811761426577,142.9533928723341
0,0,4,400.0,500.0,-2.785930398698486,0.12024225442382189,1.3610477822811582,0.04564456853012223,-2.046901244002749,-2414.0644090802116,104.19231830333013,1179.3751243022691,39.55193152272151
0,0,5,500.0,600.0,-1.02618685132997,0.06251892538006343,0.5095130253883249,0.02425834447212916,-2.0140542050870294,-889.2114304144454,54.17389922033255,441.5032267594912,21.020340651989358
0,0,6,600.0,1000.0,-0.19668312833868318,0.009621628671828543,0.09651531598058316,0.003652826734364238,-2.0378436970382157,-681.719457472143,33.34933470685147,334.52980641397966,12.660989687445197
0,0,7,1000.0,1500.0,-0.01029380950638921,0.0019440477356909157,0.00567276794944048,0.000798683361477287,-1.8146008435625356,-44.598959067381884,8.42278121965446,24.57783441774582,3.4603755319364935
0,1,0,210.0,230.0,-38.42172301822337,5.223509661971949,16.8712924894236,1.8613444181218814,-2.277343187684611,-4439.092190633454,603.503412305591,1949.2416490580445,215.05228869212965
0,1,1,230.0,250.0,-25.54241866226556,4.2254694815066465,11.496503973252336,1.5590648965471476,-2.221755302454757,-2951.0688825635134,488.19384201535183,1328.2600830536817,180.12812188747122
0,1,2,250.0,300.0,-13.69246951737163,1.9258130742055086,6.235979001816312,0.714073036326229,-2.1957209146123677,-3954.9328953976215,556.251848353519,1801.2001748846233,206.25285581246794
0,1,3,300.0,400.0,-4.051309427896118,0.6074849625972332,1.8375361565370705,0.21843497761654945,-2.2047508635318587,-2340.360430307029,350.9319131931696,1061.5078869083347,126.18551786952827
0,1,4,400.0,500.0,-1.054329633408535,0.15823182399927388,0.47684326305345204,0.05709518525256904,-2.2110611915898017,-609.0651426274424,91.40736008790051,275.4628162007181,32.98274661670408
0,1,5,500.0,600.0,-0.30210966102053605,0.06644776349582225,0.13572825110613213,0.02358296800990134,-2.2258421408841604,-174.52270897834325,38.38554401626659,78.40749609899039,13.623408959959804
0,1,6,600.0,1000.0,-0.0448348459767424,0.009961180864320306,0.021069456652054747,0.003843018508839945,-2.1279545418353254,-103.60077529537818,23.017499846802213,48.68561487503594,8.880139728746636
0,1,7,1000.0,1500.0,-0.0011454798658101781,0.0021665375179687834,0.00023122707297742925,0.00036268497179733596,-4.953917597365391,-3.3086040444061178,6.257826966901033,0.6678762775880065,1.047579272539425
1,0,0,210.0,230.0,-27.960393541798645,2.8545503316912852,12.81840221664038,1.1125494780666576,-2.181269792385005,-3133.800908164792,319.93800117595924,1436.6865204410535,124.69454550171096
1,0,1,230.0,250.0,-18.041327888153813,2.110484264176174,8.830679447561707,0.857083446644398,-2.0430282851151746,-2022.0720297042792,236.54307632886554,989.7425524827161,96.06191269990411
1,0,2,250.0,300.0,-10.292438766633422,1.042860938014086,4.883742208190334,0.41821254852693646,-2.107490184345188,-2883.9413424106847,292.2096348315469,1368.4245667349314,117.18315609724759
1,0,3,300.0,400.0,-3.221344886745912,0.33858913884831904,1.54883672896919,0.13312849900514742,-2.079847944263202,-1805.241674532409,189.74535341059797,867.968102914334,74.60521084248461
1,0,4,400.0,500.0,-0.8168405692628719,0.08615649262738248,0.3965843782783426,0.033644953194847185,-2.0596892212672397,-457.7574550149133,48.282098468385136,222.24588558718315,18.85463177039236
1,0,5,500.0,600.0,-0.2194541543261536,0.035847725119804476,0.11060860196253551,0.014042383014181531,-1.984060465753698,-122.98210808437646,20.089065157138428,61.98506053980489,7.869351441147329
1,0,6,600.0,1000.0,-0.027619195108036686,0.00453525416055269,0.01450576357499122,0.0018349243566373648,-1.9040152533337704,-61.91118775417503,10.16622572629491,32.51611962970031,4.113166437838316
1,0,7,1000.0,1500.0,-0.0004986242334328397,0.0006838368467139954,0.00018050216688735485,0.00020070781989226636,-2.762427964335818,-1.3971451020788166,1.916110844492615,0.5057670716183682,0.5623833113381302
1,1,0,210.0,230.0,-32.94182222208377,7.462392134595135,14.051793848361887,2.6494408745250104,-2.344314368512033,-2461.412956434099,557.5899402969485,1049.9500363496002,197.96622214450878
1,1,1,230.0,250.0,-21.80354336879771,6.332540910487273,9.450018521928031,2.289577299731286,-2.3072487443494727,-1629.1607605165648,473.167456831609,706.1053839584624,171.0772158359217
1,1,2,250.0,300.0,-10.395486133189939,2.4692763623144853,4.4486003379370365,0.8695096584213359,-2.3367992949464798,-1941.8768096798804,461.26082448034583,830.9985431266383,162.42440419310552
1,1,3,300.0,400.0,-2.7235535834406663,0.781233607222441,1.2167842928864971,0.285213971702932,-2.238320793063296,-1017.5196187734329,291.8688756583039,454.5906118223953,106.55593982821539
1,1,4,400.0,500.0,-0.4727853727768256,0.15811265866103466,0.2365691914297822,0.06400896617122423,-1.9985077935101974,-176.63261526942202,59.07088927576254,88.38224991816662,23.91374976156937
1,1,5,500.0,600.0,-0.10548583488030945,0.06830699463347976,0.05233177586855907,0.027058243955475385,-2.0157128843717556,-39.409507911283605,25.519493195068037,19.551151464493667,10.108959941765603
1,1,6,600.0,1000.0,-0.004638834290922769,0.0027409120774128616,0.002573197240802142,0.0011116589341324027,-1.8027511522889348,-6.9322739643549856,4.09601900848578,3.8453859566547206,1.6612631111674625
1,1,7,1000.0,1500.0,-0.534796573875803,0.0,-0.534796573875803,0.0,-999.0,-999.0,0.0,-999.0,0.0
