pEtaBin,jEtaBin,pPtBin,pPtL,pPtR,xs_c,xs_c_error,xs_b,xs_b_error,frac_c_b,yield_c,error_c,yield_b,error_b
0,0,0,210.0,230.0,-130.26548593937878,10.84400754714969,11.200171078189504,0.4762237830508832,-11.630669302279628,-22575.529775238097,1879.30988395123,1941.0344485345536,82.53148649785025
0,0,1,230.0,250.0,-92.80141191181006,9.62636610718371,7.870578450746177,0.4150890441655254,-11.790926485589118,-16082.85588996433,1668.2877518393657,1364.0027278281154,71.9365917100622
0,0,2,250.0,300.0,-55.02787505046401,4.992177913198429,4.729980118393649,0.2268446433674035,-11.633849122636915,-23841.377144364036,2162.911002672351,2049.311186095232,98.28271018536124
0,0,3,300.0,400.0,-22.08294645368093,2.409835773252616,1.8972510597259307,0.11227021428018122,-11.639443467682629,-19135.314761043595,2088.1708942388564,1644.0059882737132,97.28438607806262
0,0,4,400.0,500.0,-8.164508906471916,0.9424165254186301,0.6552427788911899,0.040458140274673995,-12.460280631078454,-7074.710257636043,816.6227676057513,567.7809727647938,35.05778771081051
0,0,5,500.0,600.0,-3.155953151458722,0.5566255527624034,0.26211017869686487,0.02319161006849215,-12.0405593065832,-2734.6965248020115,482.32717397967775,227.12371204440734,20.095993956549815
0,0,6,600.0,1000.0,-0.6175342001041952,0.09453011454546606,0.05856612214509295,0.0044194843479539074,-10.54422211145042,-2140.4229402971487,327.64893942374897,202.99486464466375,15.318286308756077
0,0,7,1000.0,1500.0,-0.028223721243942828,0.016757189360740426,0.00414592219136433,0.0009334855679286577,-6.807585849712976,-122.28209466150668,72.60219862434396,17.962622486305097,4.044419571607702
0,1,0,210.0,230.0,-137.0442351145008,64.67547292721333,9.617530853098517,2.4456120338077003,-14.249419857109036,-15833.54274818896,7472.345440118518,1111.17104464359,282.5562319380064
0,1,1,230.0,250.0,-85.47207189444393,46.485983655287114,7.121867618546463,2.235615507242912,-12.001356452043733,-9875.101298396472,5370.804607597252,822.832097176384,258.294073244817
0,1,2,250.0,300.0,-45.61098803321927,21.05302675257276,4.034239544562432,1.082598218667755,-11.305969199250017,-13174.277783515052,6080.956247213115,1165.2497500514128,312.69766947999426
0,1,3,300.0,400.0,-14.625816526643654,8.20951890507927,1.329727447209238,0.4271617520844971,-10.999108544641649,-8449.041691111504,4742.474881086191,768.1569517038324,246.76280094417223
0,1,4,400.0,500.0,-3.647792366224384,2.087421595240179,0.35206545359640135,0.0995659413049532,-10.36111986837004,-2107.256694120502,1205.8617071383464,203.3811712335691,57.51725297304536
0,1,5,500.0,600.0,-0.9759295763708469,0.8191902074598422,0.09321707696638844,0.0295600646300221,-10.469429080282582,-563.7749976779107,473.22979904540153,53.84964102194326,17.076258135471164
0,1,6,600.0,1000.0,-0.10204009312878136,0.07374197565475969,0.018015888386992057,0.005079096497392608,-5.663894609963114,-235.78608399453762,170.3970579849663,41.62967361359028,11.736369858455046
0,1,7,1000.0,1500.0,-0.0008551157479296265,0.01146359516748725,0.0002652074042660462,0.0012624324949426118,-3.2243283338794204,-2.469916326319933,33.111448281770166,0.7660250664820477,3.646410018392239
1,0,0,210.0,230.0,-60.801086909894074,12.503292420086849,5.126044176139334,0.6235846910333921,-11.86121009118697,-6814.585820860927,1401.369014443334,574.5270312616965,69.89137217102258
1,0,1,230.0,250.0,-42.54044437983406,10.622657294792006,3.5129095851234355,0.5126307211443749,-12.109746450630409,-4767.933006091801,1190.587429600288,393.7269063006346,57.45565122586154
1,0,2,250.0,300.0,-23.83947827929736,5.158657723259813,2.029718611170646,0.2615277583825668,-11.745213424213457,-6679.82181385912,1445.4558940573995,568.7271548500149,73.28007789879521
1,0,3,300.0,400.0,-8.94353829776455,2.3959105372714524,0.6067984572742451,0.08640394163498794,-14.738894258135007,-5011.958862067253,1342.6682650869218,340.0498554564869,48.42076889224723
1,0,4,400.0,500.0,-2.524136913287666,0.7755693268830108,0.1844399396146305,0.03048990523452548,-13.685413899839736,-1414.526326206408,434.6290507852392,103.36014216003893,17.086542893428078
1,0,5,500.0,600.0,-0.7270662667936236,0.3719466632075573,0.0552250868282882,0.014005519361246265,-13.165506992398157,-407.44793591114666,208.4389100615151,30.948138658572706,7.848693050042406
1,0,6,600.0,1000.0,-0.09552318036527195,0.051509362762928376,0.00906589973573387,0.00271872264747359,-10.536536157438487,-214.12476110679358,115.46338756938023,20.32212084762104,6.094288686576799
1,0,7,1000.0,1500.0,-0.0010185874598834762,0.0032077664599566833,0.0001131504471594001,0.00017930272716804545,-9.002063053701825,-2.8540820625934997,8.988161620798625,0.317047552940639,0.5024062415248632
1,1,0,210.0,230.0,-107.29718147795613,76.29233725677625,8.956119877933876,4.044974183885457,-11.980319930991026,-8017.245400032882,5700.563439826321,669.2012772792192,302.24047101992136
1,1,1,230.0,250.0,-76.2771032265382,75.48896159144236,6.515557234717116,4.190061721044592,-11.706919374463896,-5699.425153086934,5640.535210112573,486.8424365780629,313.0814117964519
1,1,2,250.0,300.0,-42.58423271310556,40.59541712835697,2.6120106992811616,1.4312334418155042,-16.303238238964695,-7954.734670808117,7583.223919577081,487.92359862572096,267.35440693113617
1,1,3,300.0,400.0,-11.58736584583502,14.756635471076699,0.8103212911916895,0.5616105138003121,-14.299717867210669,-4329.039880003963,5513.079011994254,302.73603438921515,209.81768795579657
1,1,4,400.0,500.0,-1.7877258946302683,2.3528252493265183,0.17758455846325058,0.12142181402206337,-10.066899453987274,-667.8943942338682,879.0155131483872,66.3455910418704,45.36318971864287
1,1,5,500.0,600.0,-0.46242806570639683,1.5306724831742735,0.04333152045017304,0.06433307838803466,-10.671863366487296,-172.76312534790983,571.8592397139086,16.188656040184647,24.03483808576975
1,1,6,600.0,1000.0,-0.010076553302098952,0.01786123294273877,0.0019972951519958365,0.0008583678183201837,-5.045099765064646,-15.058401254656673,26.691826509628815,2.984757875142578,1.2827448676976825
1,1,7,1000.0,1500.0,-0.534796573875803,0.0,-0.534796573875803,0.0,-999.0,-999.0,0.0,-999.0,0.0
