pEtaBin,jEtaBin,pPtBin,pPtL,pPtR,xs_c,xs_c_error,xs_b,xs_b_error,frac_c_b,yield_c,error_c,yield_b,error_b
0,0,0,210.0,230.0,5.323616785660037,0.21526772351010315,6.9584887548606495,0.19183811402838058,0.7650535875252193,922.604083422027,37.30675755519491,1205.93393517237,33.246312513574466
0,0,1,230.0,250.0,3.491523732630731,0.17873661498458115,4.783461336012072,0.1549580592453515,0.7299157424655977,605.0950289598362,30.97577032328785,828.9929833762361,26.854851499456394
0,0,2,250.0,300.0,1.8204231225085357,0.08200553060177496,2.6741937743325868,0.07084607912074099,0.680737177679979,788.7165220580481,35.529716188525015,1158.6211946673363,30.69477223985224
0,0,3,300.0,400.0,0.6082659598906038,0.03135960244042172,0.976228201326286,0.02593095009596636,0.6230776360119743,527.074619564406,27.173722706674226,845.9212610132532,22.469686877156768
0,0,4,400.0,500.0,0.19187981563698883,0.008967667256750148,0.3235030039461344,0.007433927614706925,0.5931314803770359,166.26769784576354,7.7706630313191365,280.3218229794044,6.441646956695844
0,0,5,500.0,600.0,0.07162712750498534,0.0051825168023985945,0.13523276262013187,0.00400883092404347,0.5296580955473459,62.06633852561989,4.49075445961443,117.18189346559664,3.4737321723021473
0,0,6,600.0,1000.0,0.01590129669998298,0.0009480485644240672,0.02978843567624184,0.0006569327782384711,0.5338077122547684,55.115166465877,3.2860121681789707,103.2491011287083,2.2769815639967996
0,0,7,1000.0,1500.0,0.0014605459795177583,0.00031673646505031024,0.0025288145299639797,0.00019744657213974443,0.5775615262454863,6.327961510858639,1.372292408476974,10.956341832521938,0.8554570184526566
0,1,0,210.0,230.0,1.9118885625451125,0.3461874976687215,4.473649405537846,0.27028767675193527,0.4273666506316794,220.89195696221208,39.9971187306534,516.8675577182205,31.227957021211587
0,1,1,230.0,250.0,1.0221520649831968,0.2857953880754821,3.016124152428971,0.2175022579945348,0.33889588535671805,118.09536097989862,33.019655956688894,348.4709200750335,25.129340879656567
0,1,2,250.0,300.0,0.6124868749436607,0.13405185250593496,1.6780774683766275,0.10332588082264903,0.36499320590734147,176.91070895872693,38.719537077814245,484.69589596590504,29.844647416813938
0,1,3,300.0,400.0,0.2978221574721429,0.05000264517385509,0.5517272553420638,0.03443494480544662,0.539799610384477,172.0459039285075,28.885528064032602,318.7218008660034,19.8923789152104
0,1,4,400.0,500.0,0.0974042843149488,0.017638768758867326,0.17345851154819253,0.009997131700890425,0.5615422584084994,56.268506963059615,10.189563936622475,100.20351295115985,5.77514304097038
0,1,5,500.0,600.0,0.035675915342831814,0.009102505559516012,0.05739852043377764,0.0049015433940364965,0.6215476474518565,20.60926277524708,5.258335411621209,33.15797728418466,2.831523587867003
0,1,6,600.0,1000.0,0.005116345378076228,0.0017797585290083478,0.0105850941576699,0.0007634494220376351,0.4833537899489494,11.8224415920283,4.112523628150169,24.459188772010986,1.764117848490804
0,1,7,1000.0,1500.0,0.00038971111794755607,0.0009597786446275642,0.0002730181094639475,0.0005588775237866137,1.427418564697878,1.1256415930797208,2.772224637142256,0.7885855073756658,1.6142618397052548
1,0,0,210.0,230.0,1.317373935613814,0.17977950735959344,2.5585744857457824,0.1414616965915515,0.5148859034408065,147.65127070359628,20.149687184863232,286.7650283623873,15.85502695398109
1,0,1,230.0,250.0,0.8563243918973411,0.13945085258431322,1.7677122911569005,0.11582387663078189,0.4844252066250607,95.97683784385399,15.629651557649826,198.1251935928654,12.981540092778033
1,0,2,250.0,300.0,0.42213396683314997,0.06260589398261428,0.9582037506173263,0.05080708790940214,0.44054718692260236,118.2819375066486,17.542171493928517,268.4886909229748,14.236146032214478
1,0,3,300.0,400.0,0.1522034254791694,0.02062374899483689,0.30835555625035543,0.016802908050684445,0.4935971556017453,85.29479963852653,11.557548936706592,172.80245372269917,9.416349671603562
