pEtaBin,jEtaBin,pPtL,pPtR,fake_value,fake_error,fake_xs,fake_xs_err
0,0,210,230,14670.029271141108,172.00425631516373,0.0002542015300014928,2.980481109747813e-06
0,0,230,250,10061.265948027487,140.0776929011481,0.00017434111074146242,2.4272592233063303e-06
0,0,250,300,12812.63327397124,150.03697079134145,8.880666620069205e-05,1.039933236042728e-06
0,0,300,400,8414.785827373973,112.5822195065557,2.9162197190175826e-05,3.901638084094194e-07
0,0,400,500,1882.354707505602,53.46769453278523,6.523469555643451e-06,1.852971047934281e-07
0,0,500,600,462.8663269744379,28.40210432927651,1.6041048907044353e-06,9.843004730695422e-08
0,0,600,800,163.4806118907083,18.111971468038618,2.832783827497147e-07,3.1384333142238314e-08
0,0,800,1000,41.76730553375897,11.094220582135241,7.237417713683594e-08,1.9224009673250394e-08
0,0,1000,1500,15.344143986198736,9.35645006990141,1.0635302236316595e-08,6.485123864968286e-09
0,1,210,230,5963.251905089935,111.19152232225315,0.0001549963940126753,2.8900816666857226e-06
0,1,230,250,4052.746480160734,84.84504579222084,0.00010533868102005033,2.205286034690196e-06
0,1,250,300,4856.707185363417,90.45507126604889,5.0494066827145144e-05,9.404405575709579e-07
0,1,300,400,3057.395474612542,66.2224587526789,1.5893518542496287e-05,3.442498312223675e-07
0,1,400,500,586.1128925838464,28.567347928704976,3.0468404246781387e-06,1.4850407079651824e-07
0,1,500,600,116.38142831575901,13.445670301133092,6.049954624117211e-07,6.989576978896789e-08
0,1,600,800,40.14845287881636,8.367376454751973,1.0435355608728888e-07,2.1748421808680234e-08
0,1,800,1000,2.3471298413087487e-06,5.588177160992528,6.100642191081684e-15,1.4524747953688336e-08
0,1,1000,1500,1.3584001930779183e-06,1.4411831363336687,1.4122974169411604e-15,1.498364937781226e-09
1,0,210,230,3765.053408542194,95.495680966505,0.00010087853936758477,2.5586528971826486e-06
1,0,230,250,3073.0377587896314,74.7224504573137,8.233709509267381e-05,2.0020676580572464e-06
1,0,250,300,3721.4550997478905,80.18524270480793,3.988415717374645e-05,8.593737496040787e-07
1,0,300,400,1879.5264316270557,58.86371338832237,1.007177644254027e-05,3.1543167036588174e-07
1,0,400,500,336.6011527929499,25.940750775768038,1.8037371032325146e-06,1.3900812362559582e-07
1,0,500,600,83.10096672903933,12.804029004661587,4.4531130021370044e-07,6.861266515263437e-08
1,0,600,800,37.381401962691754,8.200014849694677,1.001574432105868e-07,2.197061850312485e-08
1,0,800,1000,4.645955333551725,3.155950970487862,1.2448088703134947e-08,8.455862100022564e-09
1,1,210,230,1669.6744765699211,66.24955320692106,6.710435582410252e-05,2.662575043201167e-06
1,1,230,250,1247.049357527834,49.84737512911681,5.0119017204885587e-05,2.0033701446005754e-06
1,1,250,300,1366.5620210181723,49.62539788091897,2.19688964288406e-05,7.977795442270799e-07
1,1,300,400,675.1638301977727,35.044546894051166,5.426978077095612e-06,2.816886497904583e-07
1,1,400,500,79.99235763324876,12.711288721217088,6.429798987953324e-07,1.0217354979082739e-07
1,1,500,600,12.905978421843812,5.499455921572854,1.0373846883696178e-07,4.4204718006868114e-08
1,1,600,800,5.589599321474112,3.3385055191016653,2.246464607597739e-08,1.3417481396419165e-08
1,1,800,1000,1.000000004875737,0.9669989899178053,4.019008321259175e-09,3.886376968179925e-09
