pEtaBin,jEtaBin,pPtL,pPtR,b_value,b_error,b_xs,b_xs_err,c_value,c_error,c_xs,c_xs_err,l_value,l_error,l_xs,l_xs_err,fake_value,fake_error,fake_xs,fake_xs_err
0,0,210,230,6734.200236302773,81.62004910410724,0.00011668988328279072,1.41430810924668e-06,37598.55981070069,347.3782705815138,0.0006515059549700076,6.019353215934287e-06,155084.61425717166,373.03591777785914,0.0026872984024249235,6.4639476371860575e-06,15151.366622382251,175.05200092288305,0.0002625421194352893,3.033292275152924e-06
0,0,230,250,4457.154005985597,63.3146536099548,7.72333406316162e-05,1.0971131360198797e-06,25830.163536189906,266.4370997794231,0.00044758377571918115,4.61680867578947e-06,103393.10921484022,296.2397550084497,0.001791590600690017,5.133227587933622e-06,10403.262329940115,138.04224863946092,0.0001802672068609968,2.3919891474264208e-06
0,0,250,300,6038.135045932306,72.8244980155464,4.185140025728753e-05,5.047596967937777e-07,34308.180659005855,301.35753097289125,0.00023779617215197377,2.088763261065326e-06,139435.83215144288,336.0559616813989,0.0009664548369962742,2.3292643265159564e-06,13185.84707453617,150.88522948963418,9.139347819316459e-05,1.0458126696814125e-06
0,0,300,400,4119.620297066521,60.63544286509523,1.4276914697090533e-05,2.1013758137411488e-07,21660.925859858307,250.2540197283888,7.506788695584628e-05,8.672778155817806e-07,91960.82473605606,274.50660825940577,0.00031869850994900204,9.513273426431757e-07,8571.594435207411,115.67577525561683,2.9705631525471648e-05,4.008848041214489e-07
0,0,400,500,1111.5414821879153,32.89589747939647,3.852146989074366e-06,1.1400369168294619e-07,6259.382875903622,147.1273019290079,2.1692454384531406e-05,5.098828988558144e-07,24849.45983718153,152.21140978239055,8.611803826115804e-05,5.275023319344499e-07,1915.6128926919769,55.387585347808226,6.638728787962513e-06,1.9195065910602555e-07
0,0,500,600,417.2242725022298,19.240323216205326,1.4459282454530068e-06,6.667907076237478e-08,1955.7166973300232,77.79781063866653,6.777712130251092e-06,2.696153106390789e-07,8945.955025963283,83.71618531000058,3.1003011826267777e-05,2.901259704171718e-07,467.05497097944607,28.633339331238204,1.6186210132700425e-06,9.923141300571521e-08
0,0,600,1500,332.0322448876324,17.50729894980506,1.2785417897533796e-07,6.741457698063766e-09,1743.7371835742717,75.98459036186114,6.714531175431659e-07,2.9259048074625716e-08,6626.880747958985,79.44836164758044,2.5517834795970114e-06,3.0592827069626236e-08,212.36867770607057,21.475829716039698,8.177586167083493e-08,8.269602180016151e-09
0,1,210,230,1784.482500690217,43.01431089750804,4.6382134645296964e-05,1.1180247264689918e-06,8909.663478873072,193.52500932472776,0.00023157930154066281,5.030087454631817e-06,48171.86391865011,226.17602959463693,0.0012520794558229323,5.878750312283537e-06,6073.732966122939,110.74416294065713,0.00015786800942308476,2.878453935360816e-06
0,1,230,250,1324.5430145639796,40.77351683222105,3.442742219171757e-05,1.05978217603304e-06,4995.952972749106,185.69305393943614,0.00012985443307737284,4.8265198606228825e-06,31047.6519369216,193.61216909220275,0.0008069882288011319,5.032352904738004e-06,4130.591616116622,82.7489904717595,0.00010736202592592131,2.1508055227994794e-06
0,1,250,300,1528.9900293850983,40.710868653234,1.5896557435968355e-05,4.232615317148682e-07,6933.17781779336,174.20988966602226,7.208265408941721e-05,1.8112201281674515e-06,39999.32421027974,185.3166641007083,0.00041586376790458653,1.9266947057226346e-06,4931.759725341077,85.89805125893099,5.127437081182841e-05,8.930622693625386e-07
